GLNo,COBDate,FindPR,Sum of Princ Rec,Find,,,,,
GL074516/20,31032021,GL074516/20310320210,0,GL074516/20310320210,,,,,
GL074517/20,31032021,GL074517/20310320214876,4876,GL074517/20310320214876,,,,,
GL074518/20,31032021,GL074518/20310320212000,2000,GL074518/20310320212000,,,,,
GL074519/20,31032021,GL074519/20310320210,0,GL074519/20310320210,,,,,
GL074522/20,31032021,GL074522/2031032021180,180,GL074522/2031032021180,,,,,
GL074524/20,31032021,GL074524/20310320210,0,GL074524/20310320210,,,,,
GL074525/20,31032021,GL074525/20310320210,0,GL074525/20310320210,,,,,
GL074527/20,31032021,GL074527/20310320210,0,GL074527/20310320210,,,,,
GL074528/20,31032021,GL074528/20310320214000,4000,GL074528/20310320214000,,,,,
GL074530/20,31032021,GL074530/20310320213000,3000,GL074530/20310320213000,,,,,
GL074532/20,31032021,GL074532/20310320210,0,GL074532/20310320210,,,,,
GL074535/20,31032021,GL074535/20310320210,0,GL074535/20310320210,,,,,
GL074536/20,31032021,GL074536/20310320210,0,GL074536/20310320210,,,,,
GL074538/20,31032021,GL074538/20310320210,0,GL074538/20310320210,,,,,
GL074538/20,31032022,GL074538/20310320220,0,GL074538/20310320220,,,,,
GL074541/20,31032021,GL074541/20310320210,0,GL074541/20310320210,,,,,
GL074541/20,31032022,GL074541/2031032022,,#N/A,,,,,
GL074541/20,31032022,GL074541/20310320220,0,GL074541/20310320220,,,,,
GL074545/20,31032021,GL074545/20310320210,0,GL074545/20310320210,,,,,
GL074545/20,31032022,GL074545/2031032022,,#N/A,,,,,
GL074545/20,31032022,GL074545/20310320220,0,GL074545/20310320220,,,,,
GL074546/20,31032021,GL074546/20310320210,0,GL074546/20310320210,,,,,
GL074547/20,31032021,GL074547/20310320210,0,GL074547/20310320210,,,,,
GL074548/20,31032021,GL074548/2031032021105,105,GL074548/2031032021105,,,,,
GL074549/20,31032021,GL074549/20310320210,0,GL074549/20310320210,,,,,
GL074550/20,31032021,GL074550/20310320210,0,GL074550/20310320210,,,,,
GL074558/20,31032021,GL074558/203103202155,55,GL074558/203103202155,,,,,
GL074559/20,31032021,GL074559/2031032021552,552,GL074559/2031032021552,,,,,
GL074560/20,31032021,GL074560/20310320210,0,GL074560/20310320210,,,,,
GL074563/20,31032021,GL074563/20310320210,0,GL074563/20310320210,,,,,
GL074563/20,31032022,GL074563/2031032022,,#N/A,,,,,
GL074563/20,31032022,GL074563/20310320220,0,GL074563/20310320220,,,,,
GL074564/20,31032021,GL074564/203103202121,21,GL074564/203103202121,,,,,
GL074564/20,31032022,GL074564/203103202230,30,GL074564/203103202230,,,,,
GL074566/20,31032021,GL074566/20310320210,0,GL074566/20310320210,,,,,
GL074569/20,31032021,GL074569/20310320210,0,GL074569/20310320210,,,,,
GL074570/20,31032021,GL074570/20310320210,0,GL074570/20310320210,,,,,
GL074571/20,31032021,GL074571/20310320210,0,GL074571/20310320210,,,,,
GL074571/20,31032022,GL074571/2031032022,,#N/A,,,,,
GL074571/20,31032022,GL074571/20310320220,0,GL074571/20310320220,,,,,
GL074575/20,31032021,GL074575/20310320210,0,GL074575/20310320210,,,,,
GL074581/20,31032021,GL074581/20310320210,0,GL074581/20310320210,,,,,
GL074583/20,31032021,GL074583/20310320210,0,GL074583/20310320210,,,,,
GL074587/20,31032021,GL074587/20310320210,0,GL074587/20310320210,,,,,
GL074588/20,31032021,GL074588/20310320210,0,GL074588/20310320210,,,,,
GL074589/20,31032021,GL074589/20310320210,0,GL074589/20310320210,,,,,
GL074590/20,31032021,GL074590/20310320210,0,GL074590/20310320210,,,,,
GL074591/20,31032021,GL074591/20310320210,0,GL074591/20310320210,,,,,
GL074594/20,31032021,GL074594/20310320210,0,GL074594/20310320210,,,,,
GL074595/20,31032021,GL074595/20310320210,0,GL074595/20310320210,,,,,
GL074596/20,31032021,GL074596/20310320210,0,GL074596/20310320210,,,,,
GL074597/20,31032021,GL074597/20310320210,0,GL074597/20310320210,,,,,
GL074601/20,31032021,GL074601/20310320210,0,GL074601/20310320210,,,,,
GL074601/20,31032022,GL074601/2031032022,,#N/A,,,,,
GL074601/20,31032022,GL074601/20310320220,0,GL074601/20310320220,,,,,
GL074603/20,31032021,GL074603/20310320210,0,GL074603/20310320210,,,,,
GL074604/20,31032021,GL074604/20310320210,0,GL074604/20310320210,,,,,
GL074606/20,31032021,GL074606/203103202119000,19000,GL074606/203103202119000,,,,,
GL074607/20,31032021,GL074607/2031032021263,263,GL074607/2031032021263,,,,,
GL074610/20,31032021,GL074610/20310320211000,1000,GL074610/20310320211000,,,,,
GL074613/20,31032021,GL074613/20310320210,0,GL074613/20310320210,,,,,
GL074614/20,31032021,GL074614/20310320212154,2154,GL074614/20310320212154,,,,,
GL074616/20,31032021,GL074616/2031032021863,863,GL074616/2031032021863,,,,,
GL074618/20,31032021,GL074618/20310320210,0,GL074618/20310320210,,,,,
GL074619/20,31032021,GL074619/20310320210,0,GL074619/20310320210,,,,,
GL074623/20,31032021,GL074623/203103202130000,30000,GL074623/203103202130000,,,,,
GL074624/20,31032021,GL074624/20310320210,0,GL074624/20310320210,,,,,
GL074627/20,31032021,GL074627/20310320210,0,GL074627/20310320210,,,,,
GL074629/20,31032021,GL074629/20310320210,0,GL074629/20310320210,,,,,
GL074629/20,31032022,GL074629/2031032022,,#N/A,,,,,
GL074629/20,31032022,GL074629/20310320220,0,GL074629/20310320220,,,,,
GL074632/20,31032021,GL074632/20310320210,0,GL074632/20310320210,,,,,
GL074632/20,31032022,GL074632/2031032022,,#N/A,,,,,
GL074632/20,31032022,GL074632/20310320220,0,GL074632/20310320220,,,,,
GL074633/20,31032021,GL074633/20310320210,0,GL074633/20310320210,,,,,
GL074635/20,31032021,GL074635/20310320210,0,GL074635/20310320210,,,,,
GL074635/20,31032022,GL074635/2031032022,,#N/A,,,,,
GL074635/20,31032022,GL074635/20310320220,0,GL074635/20310320220,,,,,
GL074637/20,31032021,GL074637/20310320210,0,GL074637/20310320210,,,,,
GL074643/20,31032021,GL074643/20310320210,0,GL074643/20310320210,,,,,
GL074644/20,31032021,GL074644/20310320210,0,GL074644/20310320210,,,,,
GL074647/20,31032021,GL074647/20310320210,0,GL074647/20310320210,,,,,
GL074648/20,31032021,GL074648/20310320210,0,GL074648/20310320210,,,,,
GL074652/20,31032021,GL074652/20310320210,0,GL074652/20310320210,,,,,
GL074652/20,31032022,GL074652/2031032022,,#N/A,,,,,
GL074652/20,31032022,GL074652/20310320220,0,GL074652/20310320220,,,,,
GL074653/20,31032021,GL074653/20310320210,0,GL074653/20310320210,,,,,
GL074654/20,31032021,GL074654/20310320210,0,GL074654/20310320210,,,,,
GL074655/20,31032021,GL074655/20310320210,0,GL074655/20310320210,,,,,
GL074657/20,31032021,GL074657/20310320210,0,GL074657/20310320210,,,,,
GL074659/20,31032021,GL074659/20310320210,0,GL074659/20310320210,,,,,
GL074660/20,31032021,GL074660/20310320210,0,GL074660/20310320210,,,,,
GL074661/20,31032021,GL074661/20310320210,0,GL074661/20310320210,,,,,
GL074661/20,31032022,GL074661/2031032022,,#N/A,,,,,
GL074661/20,31032022,GL074661/20310320220,0,GL074661/20310320220,,,,,
GL074662/20,31032021,GL074662/20310320210,0,GL074662/20310320210,,,,,
GL074663/20,31032021,GL074663/20310320210,0,GL074663/20310320210,,,,,
GL074667/20,31032021,GL074667/20310320210,0,GL074667/20310320210,,,,,
GL074668/20,31032021,GL074668/20310320210,0,GL074668/20310320210,,,,,
GL074670/20,31032021,GL074670/20310320210,0,GL074670/20310320210,,,,,
GL074673/20,31032021,GL074673/20310320210,0,GL074673/20310320210,,,,,
GL074673/20,31032022,GL074673/2031032022,,#N/A,,,,,
GL074673/20,31032022,GL074673/20310320220,0,GL074673/20310320220,,,,,
GL074674/20,31032021,GL074674/20310320210,0,GL074674/20310320210,,,,,
GL074675/20,31032021,GL074675/20310320210,0,GL074675/20310320210,,,,,
GL074678/20,31032021,GL074678/20310320216965,6965,GL074678/20310320216965,,,,,
GL074678/20,31032022,GL074678/203103202221714,21714,GL074678/203103202221714,,,,,
GL074680/20,31032021,GL074680/20310320210,0,GL074680/20310320210,,,,,
GL074683/20,31032021,GL074683/203103202110000,10000,GL074683/203103202110000,,,,,
GL074684/20,31032021,GL074684/20310320210,0,GL074684/20310320210,,,,,
GL074684/20,31032022,GL074684/2031032022,,#N/A,,,,,
GL074684/20,31032022,GL074684/20310320220,0,GL074684/20310320220,,,,,
GL074685/20,31032021,GL074685/20310320210,0,GL074685/20310320210,,,,,
GL074689/20,31032021,GL074689/20310320210,0,GL074689/20310320210,,,,,
GL074690/20,31032021,GL074690/20310320210,0,GL074690/20310320210,,,,,
GL074690/20,31032022,GL074690/2031032022,,#N/A,,,,,
GL074690/20,31032022,GL074690/20310320220,0,GL074690/20310320220,,,,,
GL074691/20,31032021,GL074691/20310320210,0,GL074691/20310320210,,,,,
GL074693/20,31032021,GL074693/20310320210,0,GL074693/20310320210,,,,,
GL074695/20,31032021,GL074695/20310320210,0,GL074695/20310320210,,,,,
GL074697/20,31032021,GL074697/20310320210,0,GL074697/20310320210,,,,,
GL074699/20,31032021,GL074699/20310320210,0,GL074699/20310320210,,,,,
GL074706/20,31032021,GL074706/20310320210,0,GL074706/20310320210,,,,,
GL074706/20,31032022,GL074706/2031032022,,#N/A,,,,,
GL074706/20,31032022,GL074706/20310320220,0,GL074706/20310320220,,,,,
GL074711/20,31032021,GL074711/20310320210,0,GL074711/20310320210,,,,,
GL074711/20,31032022,GL074711/2031032022,,#N/A,,,,,
GL074711/20,31032022,GL074711/20310320221713,1713,GL074711/20310320221713,,,,,
GL074714/20,31032021,GL074714/20310320210,0,GL074714/20310320210,,,,,
GL074714/20,31032022,GL074714/2031032022,,#N/A,,,,,
GL074714/20,31032022,GL074714/20310320222543,2543,GL074714/20310320222543,,,,,
GL074716/20,31032021,GL074716/20310320210,0,GL074716/20310320210,,,,,
GL074716/20,31032022,GL074716/2031032022,,#N/A,,,,,
GL074716/20,31032022,GL074716/20310320228803,8803,GL074716/20310320228803,,,,,
GL074717/20,31032021,GL074717/20310320210,0,GL074717/20310320210,,,,,
GL074719/20,31032021,GL074719/20310320210,0,GL074719/20310320210,,,,,
GL074719/20,31032022,GL074719/2031032022,,#N/A,,,,,
GL074719/20,31032022,GL074719/20310320220,0,GL074719/20310320220,,,,,
GL074721/20,31032021,GL074721/20310320210,0,GL074721/20310320210,,,,,
GL074722/20,31032021,GL074722/20310320210,0,GL074722/20310320210,,,,,
GL074723/20,31032021,GL074723/20310320210,0,GL074723/20310320210,,,,,
GL074726/20,31032021,GL074726/20310320210,0,GL074726/20310320210,,,,,
GL074727/20,31032021,GL074727/20310320210,0,GL074727/20310320210,,,,,
GL074729/20,31032021,GL074729/20310320210,0,GL074729/20310320210,,,,,
GL074730/20,31032021,GL074730/20310320210,0,GL074730/20310320210,,,,,
GL074730/20,31032022,GL074730/2031032022,,#N/A,,,,,
GL074730/20,31032022,GL074730/20310320220,0,GL074730/20310320220,,,,,
GL074735/20,31032021,GL074735/20310320210,0,GL074735/20310320210,,,,,
GL074736/20,31032021,GL074736/20310320210,0,GL074736/20310320210,,,,,
GL074739/20,31032021,GL074739/20310320210,0,GL074739/20310320210,,,,,
GL074739/20,31032022,GL074739/2031032022,,#N/A,,,,,
GL074739/20,31032022,GL074739/20310320220,0,GL074739/20310320220,,,,,
GL074740/20,31032021,GL074740/20310320210,0,GL074740/20310320210,,,,,
GL074741/20,31032021,GL074741/20310320210,0,GL074741/20310320210,,,,,
GL074742/20,31032021,GL074742/20310320215000,5000,GL074742/20310320215000,,,,,
GL074745/20,31032021,GL074745/20310320210,0,GL074745/20310320210,,,,,
GL074745/20,31032022,GL074745/2031032022,,#N/A,,,,,
GL074745/20,31032022,GL074745/20310320220,0,GL074745/20310320220,,,,,
GL074747/20,31032021,GL074747/20310320210,0,GL074747/20310320210,,,,,
GL074747/20,31032022,GL074747/2031032022,,#N/A,,,,,
GL074747/20,31032022,GL074747/20310320220,0,GL074747/20310320220,,,,,
GL074748/20,31032021,GL074748/20310320210,0,GL074748/20310320210,,,,,
GL074751/20,31032021,GL074751/20310320210,0,GL074751/20310320210,,,,,
GL074751/20,31032022,GL074751/20310320220,0,GL074751/20310320220,,,,,
GL074753/20,31032021,GL074753/20310320210,0,GL074753/20310320210,,,,,
GL074754/20,31032021,GL074754/20310320210,0,GL074754/20310320210,,,,,
GL074757/20,31032021,GL074757/20310320210,0,GL074757/20310320210,,,,,
GL074757/20,31032022,GL074757/20310320220,0,GL074757/20310320220,,,,,
GL074760/20,31032021,GL074760/20310320210,0,GL074760/20310320210,,,,,
GL074762/20,31032021,GL074762/203103202136818,36818,GL074762/203103202136818,,,,,
GL074765/20,31032021,GL074765/20310320210,0,GL074765/20310320210,,,,,
GL074765/20,31032022,GL074765/2031032022,,#N/A,,,,,
GL074765/20,31032022,GL074765/20310320220,0,GL074765/20310320220,,,,,
GL074766/20,31032021,GL074766/20310320210,0,GL074766/20310320210,,,,,
GL074767/20,31032021,GL074767/20310320210,0,GL074767/20310320210,,,,,
GL074768/20,31032021,GL074768/20310320217097,7097,GL074768/20310320217097,,,,,
GL074769/20,31032021,GL074769/20310320212500,2500,GL074769/20310320212500,,,,,
GL074772/20,31032021,GL074772/20310320210,0,GL074772/20310320210,,,,,
GL074772/20,31032022,GL074772/2031032022,,#N/A,,,,,
GL074772/20,31032022,GL074772/20310320227804,7804,GL074772/20310320227804,,,,,
GL074773/20,31032021,GL074773/20310320210,0,GL074773/20310320210,,,,,
GL074774/20,31032021,GL074774/20310320210,0,GL074774/20310320210,,,,,
GL074775/20,31032021,GL074775/20310320210,0,GL074775/20310320210,,,,,
GL074776/20,31032021,GL074776/20310320210,0,GL074776/20310320210,,,,,
GL074776/20,31032022,GL074776/2031032022,,#N/A,,,,,
GL074776/20,31032022,GL074776/20310320220,0,GL074776/20310320220,,,,,
GL074782/20,31032021,GL074782/20310320210,0,GL074782/20310320210,,,,,
GL074784/20,31032021,GL074784/20310320210,0,GL074784/20310320210,,,,,
GL074787/20,31032021,GL074787/20310320210,0,GL074787/20310320210,,,,,
GL074789/20,31032021,GL074789/20310320210,0,GL074789/20310320210,,,,,
GL074792/20,31032021,GL074792/20310320210,0,GL074792/20310320210,,,,,
GL074796/20,31032021,GL074796/20310320210,0,GL074796/20310320210,,,,,
GL074798/20,31032021,GL074798/20310320210,0,GL074798/20310320210,,,,,
GL074799/20,31032021,GL074799/2031032021401,401,GL074799/2031032021401,,,,,
GL074799/20,31032022,GL074799/2031032022,,#N/A,,,,,
GL074799/20,31032022,GL074799/2031032022401,401,GL074799/2031032022401,,,,,
GL074800/20,31032021,GL074800/20310320210,0,GL074800/20310320210,,,,,
GL074801/20,31032021,GL074801/20310320210,0,GL074801/20310320210,,,,,
GL074803/20,31032021,GL074803/20310320210,0,GL074803/20310320210,,,,,
GL074804/20,31032021,GL074804/20310320210,0,GL074804/20310320210,,,,,
GL074805/20,31032021,GL074805/20310320210,0,GL074805/20310320210,,,,,
GL074806/20,31032021,GL074806/20310320210,0,GL074806/20310320210,,,,,
GL074807/20,31032021,GL074807/20310320210,0,GL074807/20310320210,,,,,
GL074807/20,31032022,GL074807/2031032022,,#N/A,,,,,
GL074807/20,31032022,GL074807/20310320220,0,GL074807/20310320220,,,,,
GL074809/20,31032021,GL074809/20310320210,0,GL074809/20310320210,,,,,
GL074811/20,31032021,GL074811/2031032021654,654,GL074811/2031032021654,,,,,
GL074812/20,31032021,GL074812/20310320210,0,GL074812/20310320210,,,,,
GL074814/20,31032021,GL074814/20310320210,0,GL074814/20310320210,,,,,
GL074814/20,31032022,GL074814/20310320220,0,GL074814/20310320220,,,,,
GL074816/20,31032021,GL074816/20310320210,0,GL074816/20310320210,,,,,
GL074820/20,31032021,GL074820/20310320210,0,GL074820/20310320210,,,,,
GL074824/20,31032021,GL074824/2031032021150,150,GL074824/2031032021150,,,,,
GL074824/20,31032022,GL074824/2031032022,,#N/A,,,,,
GL074824/20,31032022,GL074824/2031032022150,150,GL074824/2031032022150,,,,,
GL074825/20,31032021,GL074825/20310320210,0,GL074825/20310320210,,,,,
GL074826/20,31032021,GL074826/20310320210,0,GL074826/20310320210,,,,,
GL074827/20,31032021,GL074827/20310320210,0,GL074827/20310320210,,,,,
GL074827/20,31032022,GL074827/2031032022,,#N/A,,,,,
GL074827/20,31032022,GL074827/20310320220,0,GL074827/20310320220,,,,,
GL074830/20,31032021,GL074830/20310320210,0,GL074830/20310320210,,,,,
GL074831/20,31032021,GL074831/203103202150000,50000,GL074831/203103202150000,,,,,
GL074832/20,31032021,GL074832/20310320210,0,GL074832/20310320210,,,,,
GL074834/20,31032021,GL074834/20310320210,0,GL074834/20310320210,,,,,
GL074836/20,31032021,GL074836/20310320210,0,GL074836/20310320210,,,,,
GL074837/20,31032021,GL074837/20310320210,0,GL074837/20310320210,,,,,
GL074838/20,31032021,GL074838/20310320210,0,GL074838/20310320210,,,,,
GL074840/20,31032021,GL074840/20310320213000,3000,GL074840/20310320213000,,,,,
GL074841/20,31032021,GL074841/20310320211000,1000,GL074841/20310320211000,,,,,
GL074846/20,31032021,GL074846/20310320210,0,GL074846/20310320210,,,,,
GL074847/20,31032021,GL074847/20310320210,0,GL074847/20310320210,,,,,
GL074847/20,31032022,GL074847/2031032022,,#N/A,,,,,
GL074847/20,31032022,GL074847/20310320220,0,GL074847/20310320220,,,,,
GL074849/20,31032021,GL074849/20310320210,0,GL074849/20310320210,,,,,
GL074852/20,31032021,GL074852/20310320210,0,GL074852/20310320210,,,,,
GL074852/20,31032022,GL074852/2031032022,,#N/A,,,,,
GL074852/20,31032022,GL074852/20310320220,0,GL074852/20310320220,,,,,
GL074853/20,31032021,GL074853/20310320210,0,GL074853/20310320210,,,,,
GL074853/20,31032022,GL074853/20310320222084,2084,GL074853/20310320222084,,,,,
GL074854/20,31032021,GL074854/20310320210,0,GL074854/20310320210,,,,,
GL074856/20,31032021,GL074856/20310320210,0,GL074856/20310320210,,,,,
GL074858/20,31032021,GL074858/20310320212500,2500,GL074858/20310320212500,,,,,
GL074859/20,31032021,GL074859/20310320210,0,GL074859/20310320210,,,,,
GL074863/20,31032021,GL074863/20310320213000,3000,GL074863/20310320213000,,,,,
GL074864/20,31032021,GL074864/20310320212086,2086,GL074864/20310320212086,,,,,
GL074865/20,31032021,GL074865/2031032021940,940,GL074865/2031032021940,,,,,
GL074866/20,31032021,GL074866/20310320210,0,GL074866/20310320210,,,,,
GL074867/20,31032021,GL074867/20310320210,0,GL074867/20310320210,,,,,
GL074868/20,31032021,GL074868/20310320210,0,GL074868/20310320210,,,,,
GL074869/20,31032021,GL074869/2031032021208,208,GL074869/2031032021208,,,,,
GL074870/20,31032021,GL074870/20310320212458,2458,GL074870/20310320212458,,,,,
GL074871/20,31032021,GL074871/20310320210,0,GL074871/20310320210,,,,,
GL074872/20,31032021,GL074872/20310320210,0,GL074872/20310320210,,,,,
GL074873/20,31032021,GL074873/20310320212500,2500,GL074873/20310320212500,,,,,
GL074876/20,31032021,GL074876/20310320210,0,GL074876/20310320210,,,,,
GL074878/20,31032021,GL074878/20310320210,0,GL074878/20310320210,,,,,
GL074880/20,31032021,GL074880/20310320210,0,GL074880/20310320210,,,,,
GL074881/20,31032021,GL074881/203103202114,14,GL074881/203103202114,,,,,
GL074882/20,31032021,GL074882/20310320210,0,GL074882/20310320210,,,,,
GL074884/20,31032021,GL074884/20310320210,0,GL074884/20310320210,,,,,
GL074885/20,31032021,GL074885/20310320210,0,GL074885/20310320210,,,,,
GL074885/20,31032022,GL074885/20310320220,0,GL074885/20310320220,,,,,
GL074887/20,31032021,GL074887/20310320210,0,GL074887/20310320210,,,,,
GL074889/20,31032021,GL074889/20310320210,0,GL074889/20310320210,,,,,
GL074890/20,31032021,GL074890/2031032021380,380,GL074890/2031032021380,,,,,
GL074892/20,31032021,GL074892/20310320210,0,GL074892/20310320210,,,,,
GL074893/20,31032021,GL074893/20310320210,0,GL074893/20310320210,,,,,
GL074894/20,31032021,GL074894/20310320210,0,GL074894/20310320210,,,,,
GL074895/20,31032021,GL074895/20310320210,0,GL074895/20310320210,,,,,
GL074896/20,31032021,GL074896/20310320210,0,GL074896/20310320210,,,,,
GL074897/20,31032021,GL074897/20310320210,0,GL074897/20310320210,,,,,
GL074899/20,31032021,GL074899/20310320210,0,GL074899/20310320210,,,,,
GL074900/20,31032021,GL074900/20310320210,0,GL074900/20310320210,,,,,
GL074900/20,31032022,GL074900/2031032022,,#N/A,,,,,
GL074900/20,31032022,GL074900/20310320220,0,GL074900/20310320220,,,,,
GL074901/20,31032021,GL074901/20310320210,0,GL074901/20310320210,,,,,
GL074901/20,31032022,GL074901/2031032022,,#N/A,,,,,
GL074901/20,31032022,GL074901/20310320220,0,GL074901/20310320220,,,,,
GL074903/20,31032021,GL074903/20310320210,0,GL074903/20310320210,,,,,
GL074905/20,31032021,GL074905/20310320210,0,GL074905/20310320210,,,,,
GL074906/20,31032021,GL074906/20310320210,0,GL074906/20310320210,,,,,
GL074907/20,31032021,GL074907/20310320210,0,GL074907/20310320210,,,,,
GL074907/20,31032022,GL074907/2031032022,,#N/A,,,,,
GL074907/20,31032022,GL074907/20310320220,0,GL074907/20310320220,,,,,
GL074908/20,31032021,GL074908/20310320210,0,GL074908/20310320210,,,,,
GL074910/20,31032021,GL074910/20310320210,0,GL074910/20310320210,,,,,
GL074911/20,31032021,GL074911/20310320210,0,GL074911/20310320210,,,,,
GL074912/20,31032021,GL074912/20310320210,0,GL074912/20310320210,,,,,
GL074914/20,31032021,GL074914/20310320210,0,GL074914/20310320210,,,,,
GL074916/20,31032021,GL074916/20310320210,0,GL074916/20310320210,,,,,
GL074919/20,31032021,GL074919/20310320210,0,GL074919/20310320210,,,,,
GL074920/20,31032021,GL074920/20310320210,0,GL074920/20310320210,,,,,
GL074921/20,31032021,GL074921/20310320213000,3000,GL074921/20310320213000,,,,,
GL074923/20,31032021,GL074923/20310320210,0,GL074923/20310320210,,,,,
GL074925/20,31032021,GL074925/20310320210,0,GL074925/20310320210,,,,,
GL074927/20,31032021,GL074927/20310320210,0,GL074927/20310320210,,,,,
GL074930/20,31032021,GL074930/20310320210,0,GL074930/20310320210,,,,,
GL074931/20,31032021,GL074931/2031032021752,752,GL074931/2031032021752,,,,,
GL074931/20,31032022,GL074931/2031032022,,#N/A,,,,,
GL074931/20,31032022,GL074931/20310320223560,3560,GL074931/20310320223560,,,,,
GL074934/20,31032021,GL074934/20310320210,0,GL074934/20310320210,,,,,
GL074935/20,31032021,GL074935/20310320210,0,GL074935/20310320210,,,,,
GL074936/20,31032021,GL074936/20310320212500,2500,GL074936/20310320212500,,,,,
GL074937/20,31032021,GL074937/20310320210,0,GL074937/20310320210,,,,,
GL074943/20,31032021,GL074943/20310320210,0,GL074943/20310320210,,,,,
GL074944/20,31032021,GL074944/20310320210,0,GL074944/20310320210,,,,,
GL074944/20,31032022,GL074944/2031032022,,#N/A,,,,,
GL074944/20,31032022,GL074944/20310320220,0,GL074944/20310320220,,,,,
GL074946/20,31032021,GL074946/20310320210,0,GL074946/20310320210,,,,,
GL074947/20,31032021,GL074947/20310320210,0,GL074947/20310320210,,,,,
GL074948/20,31032021,GL074948/20310320210,0,GL074948/20310320210,,,,,
GL074949/20,31032021,GL074949/20310320210,0,GL074949/20310320210,,,,,
GL074950/20,31032021,GL074950/20310320210,0,GL074950/20310320210,,,,,
GL074951/20,31032021,GL074951/20310320210,0,GL074951/20310320210,,,,,
GL074951/20,31032022,GL074951/2031032022,,#N/A,,,,,
GL074951/20,31032022,GL074951/20310320220,0,GL074951/20310320220,,,,,
GL074952/20,31032021,GL074952/20310320210,0,GL074952/20310320210,,,,,
GL074953/20,31032021,GL074953/20310320210,0,GL074953/20310320210,,,,,
GL074955/20,31032021,GL074955/20310320210,0,GL074955/20310320210,,,,,
GL074956/20,31032021,GL074956/20310320210,0,GL074956/20310320210,,,,,
GL074960/20,31032021,GL074960/20310320210,0,GL074960/20310320210,,,,,
GL074961/20,31032021,GL074961/20310320210,0,GL074961/20310320210,,,,,
GL074962/20,31032021,GL074962/20310320210,0,GL074962/20310320210,,,,,
GL074964/20,31032021,GL074964/20310320210,0,GL074964/20310320210,,,,,
GL074964/20,31032022,GL074964/2031032022,,#N/A,,,,,
GL074964/20,31032022,GL074964/20310320220,0,GL074964/20310320220,,,,,
GL074965/20,31032021,GL074965/20310320210,0,GL074965/20310320210,,,,,
GL074965/20,31032022,GL074965/2031032022,,#N/A,,,,,
GL074965/20,31032022,GL074965/20310320220,0,GL074965/20310320220,,,,,
GL074968/20,31032021,GL074968/20310320210,0,GL074968/20310320210,,,,,
GL074969/20,31032021,GL074969/20310320210,0,GL074969/20310320210,,,,,
GL074970/20,31032021,GL074970/20310320210,0,GL074970/20310320210,,,,,
GL074970/20,31032022,GL074970/2031032022,,#N/A,,,,,
GL074970/20,31032022,GL074970/20310320220,0,GL074970/20310320220,,,,,
GL074971/20,31032021,GL074971/20310320210,0,GL074971/20310320210,,,,,
GL074973/20,31032021,GL074973/20310320210,0,GL074973/20310320210,,,,,
GL074976/20,31032021,GL074976/20310320210,0,GL074976/20310320210,,,,,
GL074977/20,31032021,GL074977/2031032021750,750,GL074977/2031032021750,,,,,
GL074977/20,31032022,GL074977/2031032022750,750,GL074977/2031032022750,,,,,
GL074978/20,31032021,GL074978/20310320210,0,GL074978/20310320210,,,,,
GL074979/20,31032021,GL074979/20310320210,0,GL074979/20310320210,,,,,
GL074980/20,31032021,GL074980/20310320210,0,GL074980/20310320210,,,,,
GL074981/20,31032021,GL074981/2031032021204,204,GL074981/2031032021204,,,,,
GL074981/20,31032022,GL074981/2031032022,,#N/A,,,,,
GL074981/20,31032022,GL074981/20310320221690,1690,GL074981/20310320221690,,,,,
GL074983/20,31032021,GL074983/20310320210,0,GL074983/20310320210,,,,,
GL074983/20,31032022,GL074983/2031032022,,#N/A,,,,,
GL074983/20,31032022,GL074983/20310320220,0,GL074983/20310320220,,,,,
GL074984/20,31032021,GL074984/20310320210,0,GL074984/20310320210,,,,,
GL074985/20,31032021,GL074985/20310320210,0,GL074985/20310320210,,,,,
GL074986/20,31032021,GL074986/20310320210,0,GL074986/20310320210,,,,,
GL074988/20,31032021,GL074988/20310320210,0,GL074988/20310320210,,,,,
GL074989/20,31032021,GL074989/20310320210,0,GL074989/20310320210,,,,,
GL074991/20,31032021,GL074991/20310320210,0,GL074991/20310320210,,,,,
GL074991/20,31032022,GL074991/2031032022,,#N/A,,,,,
GL074991/20,31032022,GL074991/20310320220,0,GL074991/20310320220,,,,,
GL074993/20,31032021,GL074993/20310320210,0,GL074993/20310320210,,,,,
GL074995/20,31032021,GL074995/20310320210,0,GL074995/20310320210,,,,,
GL074996/20,31032021,GL074996/20310320210,0,GL074996/20310320210,,,,,
GL074997/20,31032021,GL074997/20310320214500,4500,GL074997/20310320214500,,,,,
GL074998/20,31032021,GL074998/20310320210,0,GL074998/20310320210,,,,,
GL074999/20,31032021,GL074999/20310320210,0,GL074999/20310320210,,,,,
GL075000/20,31032021,GL075000/20310320210,0,GL075000/20310320210,,,,,
GL075001/20,31032021,GL075001/20310320210,0,GL075001/20310320210,,,,,
GL075001/20,31032022,GL075001/2031032022,,#N/A,,,,,
GL075001/20,31032022,GL075001/20310320220,0,GL075001/20310320220,,,,,
GL075004/20,31032021,GL075004/20310320210,0,GL075004/20310320210,,,,,
GL075005/20,31032021,GL075005/20310320210,0,GL075005/20310320210,,,,,
GL075006/20,31032021,GL075006/20310320210,0,GL075006/20310320210,,,,,
GL075008/20,31032021,GL075008/20310320210,0,GL075008/20310320210,,,,,
